"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/02/2023","AQS","490352005","1","36.8","ug/m3 LC","104","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/03/2023","AQS","490352005","1","44.2","ug/m3 LC","122","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/04/2023","AQS","490352005","1","48.7","ug/m3 LC","134","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/05/2023","AQS","490352005","1","25.6","ug/m3 LC","79","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/06/2023","AQS","490352005","1","8","ug/m3 LC","33","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/07/2023","AQS","490352005","1","11.2","ug/m3 LC","47","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/08/2023","AQS","490352005","1","10.8","ug/m3 LC","45","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/09/2023","AQS","490352005","1","7.1","ug/m3 LC","30","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/10/2023","AQS","490352005","1","13.4","ug/m3 LC","54","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/11/2023","AQS","490352005","1","27.6","ug/m3 LC","84","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/12/2023","AQS","490352005","1","26.6","ug/m3 LC","81","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/13/2023","AQS","490352005","1","26.9","ug/m3 LC","82","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/14/2023","AQS","490352005","1","1.3","ug/m3 LC","5","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/15/2023","AQS","490352005","1","2.8","ug/m3 LC","12","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/16/2023","AQS","490352005","1","6.4","ug/m3 LC","27","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/17/2023","AQS","490352005","1","10.3","ug/m3 LC","43","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/18/2023","AQS","490352005","1","19.4","ug/m3 LC","66","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/19/2023","AQS","490352005","1","9","ug/m3 LC","38","Copper View","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
